region;all_2021;city_2021;rural_2021;all_2020;city_2020;rural_2020
Российская Федеpация;146171015  ;109251646  ;36919369  ;146459803  ;109407058  ;37052745  
Центральный федеральный округ;39250960  ;32346663  ;6904297  ;39342258  ;32400443  ;6941815  
Белгородская область;1541259  ;1041310  ;499949  ;1545205  ;1043414  ;501791  
Брянская область;1182682  ;833197  ;349485  ;1187587  ;836510  ;351077  
Владимирская область;1342099  ;1049234  ;292865  ;1350257  ;1056050  ;294207  
Воронежская область;2305608  ;1567046  ;738562  ;2314906  ;1573230  ;741676  
Ивановская область;987032  ;807364  ;179668  ;992083  ;811071  ;181012  
Калужская область;1000980  ;758763  ;242217  ;1001777  ;759641  ;242136  
Костромская область;628423  ;459063  ;169360  ;630904  ;459878  ;171026  
Курская область;1096488  ;752748  ;343740  ;1100248  ;754606  ;345642  
Липецкая область;1128192  ;729043  ;399149  ;1133782  ;732726  ;401056  
Московская область;7708499  ;6296406  ;1412093  ;7699681  ;6277244  ;1422437  
Орловская область;724686  ;483431  ;241255  ;729092  ;486616  ;242476  
Рязанская область;1098257  ;793275  ;304982  ;1103552  ;796951  ;306601  
Смоленская область;921127  ;663281  ;257846  ;928008  ;667319  ;260689  
Тамбовская область;994420  ;611901  ;382519  ;1000584  ;614959  ;385625  
Тверская область;1245619  ;950071  ;295548  ;1252999  ;954859  ;298140  
Тульская область;1449115  ;1082882  ;366233  ;1457621  ;1089932  ;367689  
Ярославская область;1241424  ;1011966  ;229458  ;1247407  ;1017355  ;230052  
г. Москва;12655050  ;12455682  ;199368  ;12666565  ;12468082  ;198483  
Северо-Западный федеральный округ;13941959  ;11848191  ;2093768  ;13961976  ;11860981  ;2100995  
Республика Карелия;609071  ;494545  ;114526  ;611567  ;495941  ;115626  
Республика Коми;813590  ;637072  ;176518  ;817032  ;639397  ;177635  
Архангельская область ;1127051  ;888896  ;238155  ;1131793  ;891101  ;240692  
Ненецкий автономный округ;44389  ;32948  ;11441  ;44250  ;32743  ;11507  
Архангельская область без Ненецкого автономного округа;1082662  ;855948  ;226714  ;1087543  ;858358  ;229185  
Вологодская область;1151042  ;837220  ;313822  ;1155744  ;840131  ;315613  
Калининградская область;1018624  ;792070  ;226554  ;1015568  ;789191  ;226377  
Ленинградская область;1892711  ;1274208  ;618503  ;1884292  ;1267229  ;617063  
Мурманская область;732864  ;675190  ;57674  ;737134  ;679298  ;57836  
Новгородская область;592415  ;424638  ;167777  ;594461  ;425610  ;168851  
Псковская область;620249  ;440010  ;180239  ;623182  ;441880  ;181302  
г.Санкт-Петербург ;5384342  ;5384342  ; -   ;5391203  ;5391203  ; -   
Южный федеральный округ;16482488  ;10378229  ;6104259  ;16474286  ;10358123  ;6116163  
Республика Адыгея;463167  ;217846  ;245321  ;463128  ;218414  ;244714  
Республика Калмыкия;269984  ;124616  ;145368  ;270560  ;124539  ;146021  
Республика Крым;1901578  ;966232  ;935346  ;1907100  ;970720  ;936380  
Краснодарский край;5683947  ;3159354  ;2524593  ;5679704  ;3150431  ;2529273  
Астраханская область;997778  ;664210  ;333568  ;1001780  ;667595  ;334185  
Волгоградская область;2474556  ;1915787  ;558769  ;2482796  ;1920501  ;562295  
Ростовская область;4181486  ;2850790  ;1330696  ;4189653  ;2856839  ;1332814  
г. Севастополь;509992  ;479394  ;30598  ;479565  ;449084  ;30481  
Северо-Кавказский федеральный округ;9967301  ;5026905  ;4940396  ;9949117  ;5009738  ;4939379  
Республика Дагестан;3133303  ;1419922  ;1713381  ;3122080  ;1414676  ;1707404  
Республика Ингушетия;515564  ;287222  ;228342  ;511313  ;284685  ;226628  
Кабардино-Балкарская Республика;869191  ;452074  ;417117  ;868771  ;452084  ;416687  
Карачаево-Черкесская Республика;465357  ;199645  ;265712  ;465443  ;199638  ;265805  
Республика Северная Осетия-Алания;693098  ;445605  ;247493  ;694967  ;446953  ;248014  
Чеченская Республика;1497992  ;569730  ;928262  ;1488359  ;557569  ;930790  
Ставропольский край;2792796  ;1652707  ;1140089  ;2798184  ;1654133  ;1144051  
Приволжский федеральный округ;29070827  ;21016816  ;8054011  ;29179255  ;21079790  ;8099465  
Республика Башкортостан;4013786  ;2510951  ;1502835  ;4025968  ;2516395  ;1509573  
Республика Марий Эл ;675332  ;455577  ;219755  ;677375  ;455551  ;221824  
Республика Мордовия;778965  ;498861  ;280104  ;784581  ;501697  ;282884  
Республика Татарстан;3894120  ;2994450  ;899670  ;3898504  ;2998313  ;900191  
Удмуртская Республика;1493356  ;988602  ;504754  ;1497156  ;990390  ;506766  
Чувашская Республика;1207875  ;768955  ;438920  ;1212847  ;770445  ;442402  
Пермский край;2579261  ;1957552  ;621709  ;2589261  ;1965272  ;623989  
Кировская область;1250173  ;977563  ;272610  ;1256287  ;979591  ;276696  
Нижегородская область;3176552  ;2534833  ;641719  ;3189749  ;2543696  ;646053  
Оренбургская область;1942915  ;1182109  ;760806  ;1949875  ;1184339  ;765536  
Пензенская область;1290898  ;892116  ;398782  ;1298230  ;896013  ;402217  
Самарская область;3154164  ;2514764  ;639400  ;3166848  ;2526073  ;640775  
Саратовская область;2395111  ;1813408  ;581703  ;2408503  ;1822124  ;586379  
Ульяновская область;1218319  ;927075  ;291244  ;1224071  ;929891  ;294180  
Уральский федеральный округ;12329500  ;10075822  ;2253678  ;12345126  ;10082479  ;2262647  
Курганская область;818570  ;510098  ;308472  ;822868  ;512280  ;310588  
Свердловская область;4290067  ;3650725  ;639342  ;4300374  ;3657720  ;642654  
Тюменская область;3778053  ;3068004  ;710049  ;3767295  ;3055914  ;711381  
Ханты-Мансийский автономный округ-Югра;1687654  ;1563020  ;124634  ;1681165  ;1556167  ;124998  
Ямало-Ненецкий автономный округ;547010  ;459078  ;87932  ;545727  ;458078  ;87649  
Тюменская область без автономных округов;1543389  ;1045906  ;497483  ;1540403  ;1041669  ;498734  
Челябинская область;3442810  ;2846995  ;595815  ;3454589  ;2856565  ;598024  
Сибирский федеральный округ;17003927  ;12631909  ;4372018  ;17061157  ;12672899  ;4388258  
Республика Алтай;220954  ;64504  ;156450  ;220568  ;64484  ;156084  
Республика Тыва;330368  ;179471  ;150897  ;328875  ;178618  ;150257  
Республика Хакасия;532036  ;372203  ;159833  ;533149  ;372630  ;160519  
Алтайский край;2296353  ;1312993  ;983360  ;2306753  ;1316278  ;990475  
Красноярский край ;2855899  ;2217054  ;638845  ;2861077  ;2219640  ;641437  
Иркутская область;2375021  ;1851196  ;523825  ;2383107  ;1859038  ;524069  
Кемеровская область;2633446  ;2266449  ;366997  ;2645650  ;2276843  ;368807  
Новосибирская область;2785836  ;2207966  ;577870  ;2792003  ;2212161  ;579842  
Омская область;1903675  ;1388531  ;515144  ;1915170  ;1396707  ;518463  
Томская область;1070339  ;771542  ;298797  ;1074805  ;776500  ;298305  
Дальневосточный федеральный округ;8124053  ;5927111  ;2196942  ;8146628  ;5942605  ;2204023  
Республика Бурятия;985431  ;582600  ;402831  ;985684  ;583287  ;402397  
Республика Саха (Якутия);981971  ;651070  ;330901  ;976983  ;646889  ;330094  
Забайкальский край;1053485  ;720040  ;333445  ;1056592  ;721290  ;335302  
Камчатский край;311667  ;245188  ;66479  ;312342  ;245398  ;66944  
Приморский край;1877844  ;1453396  ;424448  ;1886856  ;1460085  ;426771  
Хабаровский край;1301127  ;1068308  ;232819  ;1308385  ;1074147  ;234238  
Амурская область;781846  ;530465  ;251381  ;785945  ;532808  ;253137  
Магаданская область;139034  ;133607  ;5427  ;139592  ;134124  ;5468  
Сахалинская область;485621  ;400322  ;85299  ;486939  ;401192  ;85747  
Еврейская автономная область;156500  ;106873  ;49627  ;157402  ;107777  ;49625  
Чукотский автономный округ;49527  ;35242  ;14285  ;49908  ;35608  ;14300  
